HDI rank,Country,hdi1,Life expectancy at birth,Expected years of schooling ,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank
132,Bhutan,0.607,69.9,12.5,3.1,"7,081",-12,132
133,Timor-Leste,0.605,68.5,12.5,4.4,"5,371",-1,133
134,Vanuatu,0.597,72.1,10.8,6.8,"2,805",23,134
135,Congo,0.592,62.9,11.1,6.3,"5,503",-7,135
135,Equatorial Guinea,0.592,57.9,9.2,5.5,"21,517",-79,137
137,Kiribati,0.588,66.2,11.9,7.8,"2,475",23,136
138,Lao People's Democratic Republic,0.586,66.6,10.8,5.2,"5,049",-2,137
139,Bangladesh,0.579,72,10.2,5.2,"3,341",8,140
139,Ghana,0.579,61.5,11.5,6.9,"3,839",5,140
139,Zambia,0.579,60.8,12.5,6.9,"3,464",7,139
142,Sao Tome and Principe,0.574,66.6,12,5.3,"3,070",12,142
143,Cambodia,0.563,68.8,10.9,4.7,"3,095",10,143
144,Nepal,0.558,70,12.2,4.1,"2,337",19,144
145,Myanmar,0.556,66.1,9.1,4.7,"4,943",-6,146
146,Kenya,0.555,62.2,11.1,6.3,"2,881",10,147
147,Pakistan,0.55,66.4,8.1,5.1,"5,031",-10,148
